iter	Passed	Remaining
0	132	132155
1	132	66229
2	133	44247
3	133	33246
4	134	26696
5	134	22363
6	135	19255
7	136	16909
8	136	15083
9	137	13627
10	138	12437
11	139	11449
12	139	10609
13	140	9882
14	140	9243
15	141	8683
16	141	8187
17	142	7748
18	142	7352
19	142	6998
20	143	6676
21	143	6387
22	144	6122
23	144	5878
24	145	5655
25	145	5449
26	146	5262
27	146	5086
28	147	4922
29	147	4768
30	147	4625
31	148	4488
32	148	4362
33	149	4241
34	149	4128
35	150	4021
36	150	3920
37	151	3823
38	151	3732
39	151	3645
40	152	3563
41	152	3484
42	153	3410
43	153	3337
44	154	3271
45	154	3206
46	155	3143
47	155	3084
48	155	3026
49	156	2970
50	156	2917
51	157	2866
52	157	2816
53	158	2769
54	158	2724
55	159	2681
56	159	2641
57	160	2600
58	160	2561
59	160	2521
60	161	2484
61	161	2448
62	162	2413
63	162	2379
64	163	2347
65	163	2315
66	164	2285
67	164	2252
68	164	2223
69	165	2195
70	165	2167
71	166	2139
72	166	2113
73	166	2088
74	167	2064
75	167	2040
76	168	2018
77	168	1995
78	169	1973
79	169	1951
80	170	1929
81	170	1908
82	170	1888
83	171	1868
84	171	1847
85	172	1828
86	172	1808
87	172	1790
88	173	1773
89	173	1755
90	174	1739
91	174	1723
92	175	1707
93	175	1692
94	175	1676
95	176	1661
96	176	1646
97	177	1631
98	177	1617
99	178	1603
100	178	1590
101	178	1575
102	179	1561
103	179	1548
104	180	1536
105	180	1523
106	181	1510
107	181	1498
108	181	1486
109	182	1474
110	182	1463
111	183	1452
112	183	1440
113	184	1430
114	184	1419
115	184	1407
116	185	1397
117	185	1387
118	185	1376
119	186	1366
120	186	1357
121	187	1348
122	187	1337
123	187	1327
124	188	1318
125	188	1309
126	189	1301
127	189	1292
128	190	1283
129	190	1275
130	190	1266
131	191	1258
132	191	1250
133	192	1242
134	192	1235
135	193	1228
136	193	1221
137	194	1213
138	194	1206
139	195	1198
140	195	1191
141	195	1184
142	196	1177
143	196	1170
144	197	1162
145	197	1155
146	197	1148
147	198	1142
148	198	1135
149	199	1129
150	199	1122
151	200	1116
152	200	1110
153	200	1104
154	201	1097
155	201	1091
156	202	1086
157	202	1080
158	203	1074
159	203	1068
160	204	1063
161	204	1057
162	204	1051
163	205	1046
164	205	1041
165	206	1035
166	206	1030
167	207	1025
168	207	1020
169	207	1015
170	208	1010
171	208	1005
172	209	1000
173	209	995
174	210	990
175	210	986
176	211	981
177	211	976
178	211	971
179	212	967
180	212	961
181	212	957
182	213	952
183	213	948
184	214	944
185	214	940
186	215	935
187	215	931
188	216	927
189	216	923
190	217	919
191	217	915
192	217	911
193	218	907
194	218	903
195	219	900
196	219	896
197	220	892
198	220	889
199	221	885
200	221	881
201	222	877
202	222	873
203	222	870
204	223	866
205	223	862
206	224	859
207	224	855
208	225	852
209	225	848
210	226	845
211	226	841
212	226	838
213	227	834
214	227	831
215	228	827
216	228	824
217	228	821
218	229	817
219	229	814
220	230	811
221	230	807
222	231	804
223	231	801
224	231	798
225	232	795
226	232	792
227	233	789
228	233	786
229	234	783
230	234	780
231	234	777
232	235	774
233	235	771
234	235	768
235	236	765
236	236	762
237	237	759
238	237	756
239	237	753
240	238	750
241	238	747
242	238	744
243	239	741
244	239	738
245	240	736
246	240	733
247	240	730
248	241	727
249	241	724
250	242	722
251	242	719
252	242	716
253	243	714
254	243	711
255	243	708
256	244	706
257	244	703
258	245	701
259	245	698
260	245	696
261	246	693
262	246	690
263	246	688
264	247	685
265	247	683
266	248	680
267	248	678
268	248	676
269	249	673
270	249	671
271	249	669
272	250	666
273	250	664
274	251	661
275	251	659
276	251	657
277	252	655
278	252	652
279	252	650
280	253	648
281	253	645
282	254	643
283	254	641
284	254	639
285	255	637
286	255	634
287	255	632
288	256	630
289	256	628
290	257	626
291	257	624
292	257	622
293	258	620
294	258	618
295	259	616
296	259	614
297	260	612
298	260	610
299	260	608
300	261	606
301	261	605
302	262	603
303	262	601
304	263	599
305	263	597
306	264	596
307	264	594
308	264	592
309	265	590
310	265	589
311	266	587
312	266	585
313	267	583
314	267	581
315	267	579
316	268	578
317	268	576
318	269	574
319	269	573
320	270	571
321	270	569
322	270	567
323	271	566
324	271	564
325	272	562
326	272	561
327	273	559
328	273	557
329	273	556
330	274	554
331	274	552
332	275	551
333	275	549
334	276	547
335	276	546
336	276	544
337	277	543
338	277	541
339	278	539
340	278	538
341	279	536
342	279	535
343	279	533
344	280	532
345	280	530
346	281	529
347	281	527
348	281	525
349	282	524
350	282	522
351	283	521
352	283	519
353	284	518
354	284	516
355	284	515
356	285	513
357	285	512
358	286	511
359	286	509
360	287	508
361	287	506
362	288	505
363	288	504
364	289	502
365	289	501
366	290	500
367	290	498
368	290	497
369	291	496
370	291	494
371	292	493
372	292	491
373	293	490
374	293	489
375	293	487
376	294	486
377	294	485
378	295	483
379	295	482
380	295	480
381	296	479
382	296	477
383	297	476
384	297	475
385	297	473
386	298	472
387	298	471
388	299	470
389	299	468
390	300	467
391	300	466
392	300	464
393	301	463
394	301	462
395	302	460
396	302	459
397	303	458
398	303	457
399	304	456
400	304	454
401	304	453
402	305	452
403	305	450
404	306	449
405	306	448
406	306	447
407	307	446
408	307	444
409	308	443
410	308	442
411	309	441
412	309	440
413	310	438
414	310	437
415	310	436
416	311	435
417	311	434
418	312	433
419	312	431
420	313	430
421	313	429
422	314	428
423	314	427
424	315	426
425	315	425
426	315	423
427	316	422
428	316	421
429	317	420
430	317	419
431	317	418
432	318	416
433	318	415
434	319	414
435	319	413
436	320	412
437	320	411
438	321	410
439	321	409
440	321	407
441	322	406
442	322	405
443	322	404
444	323	403
445	323	402
446	324	400
447	324	399
448	324	398
449	325	397
450	325	396
451	325	395
452	326	394
453	326	393
454	327	391
455	327	390
456	327	389
457	328	388
458	328	387
459	329	386
460	329	385
461	329	384
462	330	383
463	330	381
464	330	380
465	331	379
466	331	378
467	332	377
468	332	376
469	333	375
470	333	374
471	334	373
472	334	372
473	334	371
474	335	370
475	335	369
476	336	368
477	336	367
478	337	366
479	337	365
480	338	364
481	338	363
482	338	362
483	339	361
484	339	360
485	340	359
486	340	358
487	341	357
488	341	356
489	342	356
490	342	354
491	342	353
492	343	352
493	343	352
494	344	351
495	344	350
496	344	349
497	345	348
498	345	347
499	346	346
500	346	345
501	346	344
502	347	343
503	348	342
504	348	341
505	348	340
506	349	339
507	349	338
508	350	337
509	350	336
510	350	335
511	351	334
512	351	333
513	351	332
514	352	331
515	352	330
516	353	330
517	353	329
518	354	328
519	354	327
520	355	326
521	355	325
522	356	324
523	356	324
524	357	323
525	357	322
526	358	321
527	358	320
528	359	319
529	359	318
530	360	318
531	360	317
532	361	316
533	361	315
534	362	314
535	362	313
536	363	313
537	363	312
538	364	311
539	364	310
540	364	309
541	365	308
542	365	307
543	366	307
544	366	306
545	367	305
546	367	304
547	368	303
548	368	302
549	369	301
550	369	301
551	369	300
552	370	299
553	370	298
554	371	297
555	371	296
556	372	296
557	372	295
558	373	294
559	373	293
560	373	292
561	374	291
562	374	290
563	375	290
564	375	289
565	376	288
566	376	287
567	376	286
568	377	285
569	377	285
570	378	284
571	378	283
572	379	282
573	379	281
574	379	280
575	380	280
576	380	279
577	381	278
578	381	277
579	382	276
580	382	276
581	383	275
582	383	274
583	384	273
584	384	272
585	385	272
586	385	271
587	386	270
588	386	269
589	386	268
590	387	268
591	387	267
592	388	266
593	388	265
594	389	264
595	389	263
596	389	263
597	390	262
598	390	261
599	391	260
600	391	259
601	392	259
602	392	258
603	392	257
604	393	256
605	393	256
606	394	255
607	394	254
608	395	253
609	395	252
610	396	252
611	396	251
612	396	250
613	397	249
614	397	248
615	398	248
616	398	247
617	399	246
618	399	245
619	400	245
620	400	244
621	400	243
622	401	242
623	401	242
624	402	241
625	402	240
626	403	239
627	403	238
628	403	238
629	404	237
630	404	236
631	404	235
632	405	235
633	405	234
634	406	233
635	406	232
636	406	231
637	407	231
638	407	230
639	408	229
640	408	228
641	408	227
642	409	227
643	409	226
644	410	225
645	410	224
646	410	224
647	411	223
648	411	222
649	411	221
650	412	221
651	412	220
652	413	219
653	413	218
654	414	218
655	414	217
656	415	216
657	415	215
658	415	215
659	416	214
660	416	213
661	417	213
662	417	212
663	418	211
664	418	210
665	419	210
666	419	209
667	419	208
668	420	208
669	420	207
670	421	206
671	421	205
672	422	205
673	422	204
674	423	203
675	423	203
676	424	202
677	424	201
678	425	200
679	425	200
680	425	199
681	426	198
682	426	198
683	427	197
684	427	196
685	427	195
686	428	195
687	428	194
688	429	193
689	429	193
690	430	192
691	430	191
692	431	190
693	431	190
694	431	189
695	432	188
696	432	188
697	433	187
698	433	186
699	434	186
700	434	185
701	435	184
702	435	184
703	436	183
704	436	182
705	436	181
706	437	181
707	437	180
708	438	179
709	438	179
710	438	178
711	439	177
712	439	176
713	440	176
714	440	175
715	440	174
716	441	174
717	441	173
718	442	172
719	442	172
720	443	171
721	443	170
722	444	170
723	444	169
724	445	168
725	445	168
726	445	167
727	446	166
728	446	166
729	447	165
730	447	164
731	448	164
732	448	163
733	448	162
734	449	161
735	449	161
736	450	160
737	450	159
738	451	159
739	451	158
740	451	157
741	452	157
742	452	156
743	453	155
744	453	155
745	454	154
746	454	153
747	455	153
748	455	152
749	455	151
750	456	151
751	456	150
752	456	149
753	457	149
754	457	148
755	458	147
756	458	147
757	459	146
758	459	145
759	460	145
760	460	144
761	460	143
762	461	143
763	461	142
764	462	142
765	462	141
766	463	140
767	463	140
768	464	139
769	464	138
770	464	138
771	465	137
772	465	136
773	466	136
774	466	135
775	466	134
776	467	134
777	467	133
778	468	132
779	468	132
780	469	131
781	469	130
782	469	130
783	470	129
784	470	128
785	471	128
786	471	127
787	471	126
788	472	126
789	472	125
790	473	125
791	473	124
792	473	123
793	474	123
794	474	122
795	474	121
796	475	121
797	475	120
798	476	119
799	476	119
800	476	118
801	477	117
802	477	117
803	478	116
804	478	115
805	478	115
806	479	114
807	479	113
808	480	113
809	480	112
810	480	112
811	481	111
812	481	110
813	482	110
814	482	109
815	482	108
816	483	108
817	483	107
818	483	106
819	484	106
820	484	105
821	484	105
822	485	104
823	485	103
824	486	103
825	486	102
826	486	101
827	487	101
828	487	100
829	487	99
830	488	99
831	488	98
832	489	98
833	489	97
834	489	96
835	490	96
836	490	95
837	491	94
838	491	94
839	491	93
840	492	93
841	492	92
842	492	91
843	493	91
844	493	90
845	494	89
846	494	89
847	494	88
848	495	88
849	495	87
850	495	86
851	496	86
852	496	85
853	496	84
854	497	84
855	497	83
856	498	83
857	498	82
858	498	81
859	499	81
860	499	80
861	499	80
862	500	79
863	500	78
864	501	78
865	501	77
866	502	77
867	502	76
868	503	75
869	503	75
870	504	74
871	504	74
872	505	73
873	505	72
874	505	72
875	506	71
876	506	71
877	507	70
878	507	69
879	508	69
880	508	68
881	509	68
882	509	67
883	509	66
884	510	66
885	510	65
886	511	65
887	511	64
888	512	63
889	512	63
890	513	62
891	513	62
892	514	61
893	514	61
894	515	60
895	515	59
896	515	59
897	516	58
898	516	58
899	517	57
900	517	56
901	518	56
902	518	55
903	519	55
904	519	54
905	519	53
906	520	53
907	520	52
908	521	52
909	521	51
910	522	50
911	522	50
912	522	49
913	523	49
914	523	48
915	524	48
916	524	47
917	525	46
918	525	46
919	526	45
920	526	45
921	526	44
922	527	43
923	527	43
924	528	42
925	528	42
926	529	41
927	529	41
928	529	40
929	530	39
930	530	39
931	530	38
932	531	38
933	531	37
934	532	36
935	532	36
936	532	35
937	533	35
938	533	34
939	534	34
940	534	33
941	535	32
942	535	32
943	535	31
944	536	31
945	536	30
946	537	30
947	537	29
948	538	28
949	538	28
950	538	27
951	539	27
952	539	26
953	540	26
954	540	25
955	541	24
956	541	24
957	542	23
958	542	23
959	542	22
960	543	22
961	543	21
962	544	20
963	544	20
964	545	19
965	545	19
966	545	18
967	546	18
968	546	17
969	547	16
970	547	16
971	548	15
972	548	15
973	549	14
974	549	14
975	549	13
976	550	12
977	550	12
978	551	11
979	551	11
980	552	10
981	552	10
982	553	9
983	553	9
984	554	8
985	554	7
986	555	7
987	555	6
988	555	6
989	556	5
990	556	5
991	557	4
992	557	3
993	558	3
994	558	2
995	558	2
996	559	1
997	559	1
998	560	0
999	560	0
