iter	Passed	Remaining
0	144	144228
1	145	72538
2	147	48920
3	148	37002
4	149	29702
5	149	24803
6	150	21297
7	150	18670
8	150	16622
9	151	14994
10	152	13724
11	153	12605
12	153	11655
13	154	10877
14	154	10167
15	155	9550
16	156	9020
17	156	8548
18	157	8109
19	157	7725
20	158	7391
21	158	7067
22	159	6779
23	160	6519
24	160	6278
25	161	6056
26	162	5845
27	162	5651
28	163	5468
29	163	5293
30	164	5128
31	164	4981
32	165	4837
33	165	4703
34	166	4579
35	166	4461
36	167	4350
37	167	4244
38	168	4141
39	168	4043
40	168	3950
41	169	3862
42	169	3779
43	170	3697
44	170	3620
45	171	3547
46	171	3476
47	171	3408
48	172	3342
49	172	3279
50	172	3218
51	173	3159
52	173	3103
53	174	3049
54	174	2998
55	174	2948
56	175	2899
57	175	2852
58	176	2807
59	176	2763
60	176	2721
61	177	2682
62	177	2644
63	178	2608
64	178	2571
65	179	2535
66	179	2500
67	179	2466
68	180	2433
69	180	2400
70	181	2369
71	181	2339
72	181	2310
73	182	2282
74	182	2254
75	183	2227
76	183	2200
77	183	2174
78	184	2148
79	184	2123
80	185	2100
81	185	2077
82	185	2053
83	186	2031
84	186	2009
85	187	1987
86	187	1966
87	187	1945
88	188	1925
89	188	1906
90	188	1887
91	189	1868
92	189	1850
93	190	1832
94	190	1814
95	190	1797
96	191	1780
97	191	1764
98	192	1748
99	192	1732
100	192	1716
101	193	1701
102	193	1686
103	193	1671
104	194	1656
105	194	1642
106	195	1628
107	195	1614
108	195	1601
109	196	1587
110	196	1575
111	197	1562
112	197	1549
113	197	1537
114	198	1525
115	198	1512
116	198	1500
117	199	1489
118	199	1478
119	199	1466
120	200	1455
121	200	1444
122	201	1433
123	201	1422
124	201	1412
125	202	1402
126	202	1391
127	202	1382
128	203	1372
129	203	1364
130	204	1354
131	204	1345
132	204	1336
133	205	1327
134	205	1318
135	206	1309
136	206	1301
137	206	1292
138	207	1284
139	207	1275
140	208	1268
141	208	1259
142	208	1251
143	209	1243
144	209	1235
145	210	1228
146	210	1221
147	210	1213
148	211	1206
149	211	1199
150	211	1191
151	212	1184
152	212	1177
153	213	1170
154	213	1164
155	214	1158
156	214	1152
157	214	1145
158	215	1139
159	215	1133
160	216	1126
161	216	1120
162	216	1113
163	217	1108
164	217	1102
165	218	1097
166	218	1091
167	219	1085
168	219	1079
169	219	1073
170	220	1067
171	220	1061
172	221	1056
173	221	1051
174	221	1045
175	222	1040
176	222	1034
177	222	1029
178	223	1024
179	223	1018
180	224	1013
181	224	1008
182	224	1003
183	225	998
184	225	993
185	225	988
186	226	983
187	226	979
188	227	974
189	227	969
190	227	965
191	228	960
192	228	956
193	229	951
194	229	947
195	229	942
196	230	938
197	230	934
198	231	929
199	231	925
200	231	922
201	232	917
202	232	913
203	233	909
204	233	905
205	233	901
206	234	897
207	234	893
208	234	889
209	235	885
210	235	881
211	236	878
212	236	874
213	237	870
214	237	866
215	237	863
216	238	859
217	238	855
218	239	852
219	239	849
220	239	845
221	240	842
222	240	838
223	241	834
224	241	831
225	241	828
226	242	824
227	242	821
228	243	818
229	243	815
230	243	811
231	244	808
232	244	805
233	244	801
234	245	798
235	245	795
236	246	792
237	246	789
238	247	786
239	247	783
240	247	780
241	248	777
242	248	774
243	248	771
244	249	768
245	249	765
246	250	762
247	250	759
248	250	756
249	251	754
250	251	751
251	252	748
252	252	745
253	252	742
254	253	740
255	253	737
256	254	734
257	254	732
258	254	729
259	255	726
260	255	723
261	256	721
262	256	718
263	256	716
264	257	713
265	257	711
266	258	708
267	258	705
268	258	703
269	259	700
270	259	698
271	259	695
272	260	693
273	260	690
274	261	688
275	261	685
276	261	683
277	262	680
278	262	678
279	262	675
280	263	673
281	263	671
282	264	669
283	264	666
284	264	664
285	265	662
286	265	660
287	266	658
288	266	655
289	267	653
290	267	651
291	267	649
292	268	647
293	268	645
294	269	643
295	269	641
296	269	638
297	270	636
298	270	634
299	271	632
300	271	630
301	272	628
302	272	626
303	272	624
304	273	622
305	273	620
306	273	618
307	274	616
308	274	614
309	275	612
310	275	610
311	275	608
312	276	606
313	276	604
314	277	602
315	277	600
316	277	598
317	278	596
318	278	594
319	279	593
320	279	591
321	279	589
322	280	587
323	280	585
324	281	583
325	281	581
326	281	580
327	282	578
328	282	576
329	283	574
330	283	572
331	283	571
332	284	569
333	284	567
334	284	565
335	285	563
336	285	562
337	286	560
338	286	558
339	286	557
340	287	555
341	287	553
342	288	551
343	288	550
344	288	548
345	289	546
346	289	545
347	290	543
348	290	541
349	290	540
350	291	538
351	291	536
352	291	535
353	292	533
354	292	531
355	293	530
356	293	528
357	293	527
358	294	525
359	294	523
360	295	522
361	295	520
362	295	519
363	296	517
364	296	516
365	297	514
366	297	513
367	297	511
368	298	509
369	298	508
370	298	506
371	299	505
372	299	503
373	300	502
374	300	500
375	300	499
376	301	497
377	301	496
378	302	494
379	302	493
380	302	491
381	303	490
382	303	489
383	304	487
384	304	486
385	304	484
386	305	483
387	305	481
388	305	480
389	306	479
390	306	477
391	307	476
392	307	475
393	308	473
394	308	472
395	308	470
396	309	469
397	309	468
398	309	466
399	310	465
400	310	464
401	311	462
402	311	461
403	311	460
404	312	458
405	312	457
406	313	456
407	313	454
408	313	453
409	314	452
410	314	451
411	315	449
412	315	448
413	316	447
414	316	446
415	316	444
416	317	443
417	317	442
418	317	440
419	318	439
420	318	438
421	319	437
422	319	435
423	319	434
424	320	433
425	320	432
426	320	430
427	321	429
428	321	428
429	322	427
430	322	425
431	322	424
432	323	423
433	323	422
434	324	420
435	324	419
436	324	418
437	325	417
438	325	416
439	326	414
440	326	413
441	326	412
442	327	411
443	327	410
444	327	408
445	328	407
446	328	406
447	329	405
448	329	404
449	329	403
450	330	402
451	330	400
452	331	399
453	331	398
454	331	397
455	332	396
456	332	395
457	333	394
458	333	393
459	333	391
460	334	390
461	334	389
462	335	388
463	335	387
464	335	386
465	336	385
466	336	384
467	337	383
468	337	382
469	337	381
470	338	379
471	338	378
472	339	377
473	339	376
474	339	375
475	340	374
476	340	373
477	341	372
478	341	371
479	341	370
480	342	369
481	342	368
482	343	367
483	343	366
484	343	365
485	344	364
486	344	363
487	344	361
488	345	360
489	345	359
490	346	358
491	346	357
492	347	357
493	347	356
494	348	355
495	348	354
496	348	353
497	349	352
498	349	351
499	350	350
500	350	349
501	350	348
502	351	347
503	351	346
504	352	345
505	352	344
506	352	343
507	353	342
508	353	341
509	354	340
510	354	339
511	354	338
512	355	337
513	355	336
514	356	335
515	356	334
516	356	333
517	357	332
518	357	331
519	358	330
520	358	329
521	358	328
522	359	327
523	359	326
524	359	325
525	360	324
526	360	323
527	361	322
528	361	321
529	361	320
530	362	320
531	362	319
532	363	318
533	363	317
534	363	316
535	364	315
536	364	314
537	365	313
538	365	312
539	365	311
540	366	310
541	366	309
542	367	308
543	367	308
544	367	307
545	368	306
546	368	305
547	369	304
548	369	303
549	369	302
550	370	301
551	370	300
552	371	299
553	371	299
554	371	298
555	372	297
556	372	296
557	373	295
558	373	294
559	373	293
560	374	292
561	374	291
562	374	290
563	375	290
564	375	289
565	376	288
566	376	287
567	376	286
568	377	285
569	377	284
570	378	284
571	378	283
572	379	282
573	379	281
574	379	280
575	380	279
576	380	279
577	381	278
578	381	277
579	381	276
580	382	275
581	382	274
582	383	274
583	383	273
584	383	272
585	384	271
586	384	270
587	385	269
588	385	269
589	385	268
590	386	267
591	386	266
592	387	265
593	387	264
594	388	264
595	388	263
596	388	262
597	389	261
598	389	260
599	390	260
600	390	259
601	390	258
602	391	257
603	391	256
604	391	255
605	392	255
606	392	254
607	393	253
608	393	252
609	393	251
610	394	251
611	394	250
612	395	249
613	395	248
614	395	247
615	396	247
616	396	246
617	397	245
618	397	244
619	398	244
620	398	243
621	399	242
622	399	241
623	399	240
624	400	240
625	400	239
626	401	238
627	401	238
628	402	237
629	402	236
630	403	235
631	403	235
632	404	234
633	404	233
634	405	232
635	405	232
636	405	231
637	406	230
638	406	229
639	407	229
640	407	228
641	408	227
642	408	226
643	409	226
644	409	225
645	409	224
646	410	223
647	410	223
648	411	222
649	411	221
650	412	220
651	412	220
652	413	219
653	413	218
654	413	218
655	414	217
656	414	216
657	415	215
658	415	215
659	416	214
660	416	213
661	416	212
662	417	212
663	417	211
664	418	210
665	418	209
666	418	209
667	419	208
668	419	207
669	420	207
670	420	206
671	421	205
672	421	204
673	421	204
674	422	203
675	422	202
676	423	201
677	423	201
678	423	200
679	424	199
680	424	198
681	425	198
682	425	197
683	425	196
684	426	195
685	426	195
686	427	194
687	427	193
688	427	193
689	428	192
690	428	191
691	428	190
692	429	190
693	429	189
694	430	188
695	430	188
696	430	187
697	431	186
698	431	185
699	432	185
700	432	184
701	432	183
702	433	183
703	433	182
704	434	181
705	434	180
706	434	180
707	435	179
708	435	178
709	436	178
710	436	177
711	436	176
712	437	175
713	437	175
714	437	174
715	438	173
716	438	173
717	439	172
718	439	171
719	439	171
720	440	170
721	440	169
722	441	168
723	441	168
724	441	167
725	442	166
726	442	166
727	442	165
728	443	164
729	443	164
730	444	163
731	444	162
732	444	162
733	445	161
734	445	160
735	446	159
736	446	159
737	446	158
738	447	157
739	447	157
740	448	156
741	448	155
742	448	155
743	449	154
744	449	153
745	450	153
746	450	152
747	450	151
748	451	151
749	451	150
750	452	149
751	452	149
752	452	148
753	453	147
754	453	147
755	454	146
756	454	145
757	454	145
758	455	144
759	455	143
760	456	143
761	456	142
762	456	141
763	457	141
764	457	140
765	458	139
766	458	139
767	459	138
768	459	138
769	459	137
770	460	136
771	460	136
772	461	135
773	461	134
774	461	134
775	462	133
776	462	132
777	463	132
778	463	131
779	464	130
780	464	130
781	464	129
782	465	128
783	465	128
784	466	127
785	466	127
786	467	126
787	467	125
788	467	125
789	468	124
790	468	123
791	468	123
792	469	122
793	469	121
794	470	121
795	470	120
796	470	119
797	471	119
798	471	118
799	472	118
800	472	117
801	472	116
802	473	116
803	473	115
804	474	114
805	474	114
806	474	113
807	475	112
808	475	112
809	476	111
810	476	111
811	476	110
812	477	109
813	477	109
814	478	108
815	478	107
816	478	107
817	479	106
818	479	105
819	479	105
820	480	104
821	480	104
822	481	103
823	481	102
824	481	102
825	482	101
826	482	100
827	483	100
828	483	99
829	483	99
830	484	98
831	484	97
832	485	97
833	485	96
834	485	96
835	486	95
836	486	94
837	487	94
838	487	93
839	488	92
840	488	92
841	489	91
842	489	91
843	489	90
844	490	89
845	490	89
846	490	88
847	491	88
848	491	87
849	492	86
850	492	86
851	492	85
852	493	85
853	493	84
854	494	83
855	494	83
856	494	82
857	495	81
858	495	81
859	496	80
860	496	80
861	496	79
862	497	78
863	497	78
864	498	77
865	498	77
866	499	76
867	499	75
868	499	75
869	500	74
870	500	74
871	501	73
872	501	72
873	502	72
874	502	71
875	503	71
876	503	70
877	503	70
878	504	69
879	504	68
880	505	68
881	505	67
882	505	67
883	506	66
884	506	65
885	507	65
886	507	64
887	508	64
888	508	63
889	508	62
890	509	62
891	509	61
892	510	61
893	510	60
894	510	59
895	511	59
896	511	58
897	512	58
898	512	57
899	512	56
900	513	56
901	513	55
902	514	55
903	514	54
904	515	54
905	515	53
906	515	52
907	516	52
908	516	51
909	517	51
910	517	50
911	517	49
912	518	49
913	518	48
914	519	48
915	519	47
916	519	47
917	520	46
918	520	45
919	521	45
920	521	44
921	522	44
922	522	43
923	522	42
924	523	42
925	523	41
926	524	41
927	524	40
928	525	40
929	525	39
930	525	38
931	526	38
932	526	37
933	526	37
934	527	36
935	527	36
936	528	35
937	528	34
938	528	34
939	529	33
940	529	33
941	530	32
942	530	32
943	530	31
944	531	30
945	531	30
946	532	29
947	532	29
948	532	28
949	533	28
950	533	27
951	534	26
952	534	26
953	534	25
954	535	25
955	535	24
956	535	24
957	536	23
958	536	22
959	537	22
960	537	21
961	537	21
962	538	20
963	538	20
964	539	19
965	539	18
966	539	18
967	540	17
968	540	17
969	540	16
970	541	16
971	541	15
972	542	15
973	542	14
974	543	13
975	543	13
976	543	12
977	544	12
978	544	11
979	545	11
980	545	10
981	545	10
982	546	9
983	546	8
984	547	8
985	547	7
986	547	7
987	548	6
988	548	6
989	549	5
990	549	4
991	550	4
992	550	3
993	551	3
994	551	2
995	551	2
996	552	1
997	552	1
998	553	0
999	553	0
